name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri
Champagne,MoonChild Era,Diljit Dosanjh,2021-08-22,182000,63,0.252,0.757,0.588,0.0,0.0701,-6.383,0.12,84.968,0.344,4,10,0,spotify:track:7fYE7BT9Na8XpALQwuhIwX
Adore,Adore,Amrinder Gill,2022-02-14,130000,60,0.104,0.746,0.513,0.0,0.109,-10.313,0.21,147.984,0.787,4,9,0,spotify:track:4vz4lZFsbgVB7oZG126OyM
Parshawan,Parshawan,Harnoor,2021-06-10,168000,70,0.559,0.799,0.44,0.0,0.105,-7.422,0.061,90.006,0.43,4,1,0,spotify:track:6IaHIJYxIG8xbosaRr25AC
Jatta,8 Chances,Harnoor,2021-12-20,189429,63,0.183,0.643,0.449,0.0,0.141,-9.593,0.211,77.254,0.463,4,9,0,spotify:track:11lHthXPloRp8YMBx69ite
She Got Me,8 Chances,Harnoor,2021-12-20,159386,54,0.181,0.71,0.468,0.0,0.292,-9.261,0.0398,90.006,0.217,4,11,0,spotify:track:07N2Ax8PIL2rHndhsW97uT
Kina Chir,The Lifestyle,The PropheC,2016-12-29,216026,72,0.0955,0.622,0.431,0.0,0.088,-8.26,0.0293,117.919,0.365,4,11,0,spotify:track:6XPmY4hIb1RGRyNuq0UBsl
Tu Hi Ah,Tu Hi Ah,The PropheC,2019-09-05,191280,57,0.165,0.701,0.498,6.93e-06,0.143,-9.941,0.0407,74.998,0.588,4,7,0,spotify:track:63qRT3ZJfnsjWHVUhhbAZ3
DESIRES,HIDDEN GEMS,Various Artists,2021-11-21,168000,76,0.365,0.863,0.387,0.00238,0.06,-10.057,0.256,100.013,0.39,4,5,0,spotify:track:5pcmtf1lwrMqmAWWm248fY
Sohne Lagde,Sohne Lagde,Sidhu Moose Wala,2019-07-15,209453,64,0.354,0.589,0.716,0.0,0.109,-5.651,0.145,84.384,0.327,4,2,0,spotify:track:0ydyIEJ02X3kcZ6Bop6sHO
Tu Hi Das De,Tu Hi Das De,Tedi Pagg,2019-12-17,172831,68,0.233,0.719,0.505,0.0,0.207,-9.287,0.0667,124.803,0.362,4,7,1,spotify:track:65hNUaQSau704UtsRZVhKy
Haan,Haan,Mickey Singh,2022-03-01,154909,52,0.0153,0.526,0.598,0.0,0.115,-6.017,0.17,81.564,0.463,4,9,0,spotify:track:2bLqhfrvCa7ZfExesQuePM
Jannat,Sufna,B Praak,2020-02-10,220500,55,0.701,0.612,0.67,0.0,0.309,-3.268,0.0745,79.713,0.613,4,8,0,spotify:track:6yzxDlblhlYBepcieip20S
Udd Gaya,Lekh (Original Motion Picture Soundtrack),B Praak,2022-03-25,243946,49,0.259,0.65,0.721,0.0,0.184,-2.879,0.0314,100.194,0.267,4,5,0,spotify:track:4fn3R0d6DgzJeYYrwON8OA
